run,loo,lookbacks,w_tsmom,w_xsec,w_mr,target_vol,vol_lookback,max_leverage,cagr,vol,sharpe,maxdd,mar
6,GBPUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,30,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
6,USDJPY,"(63, 126, 252)",1.0,0.8,0.6,0.1,30,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
6,XAUUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,30,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
7,-,"(63, 126, 252)",1.0,0.8,0.6,0.12,15,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
7,EURUSD,"(63, 126, 252)",1.0,0.8,0.6,0.12,15,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
7,GBPUSD,"(63, 126, 252)",1.0,0.8,0.6,0.12,15,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
7,USDJPY,"(63, 126, 252)",1.0,0.8,0.6,0.12,15,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
7,XAUUSD,"(63, 126, 252)",1.0,0.8,0.6,0.12,15,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
8,-,"(63, 126, 252)",1.0,0.8,0.6,0.12,15,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
8,EURUSD,"(63, 126, 252)",1.0,0.8,0.6,0.12,15,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
8,GBPUSD,"(63, 126, 252)",1.0,0.8,0.6,0.12,15,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
8,USDJPY,"(63, 126, 252)",1.0,0.8,0.6,0.12,15,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
8,XAUUSD,"(63, 126, 252)",1.0,0.8,0.6,0.12,15,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
9,-,"(63, 126, 252)",1.0,0.8,0.6,0.12,20,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
9,EURUSD,"(63, 126, 252)",1.0,0.8,0.6,0.12,20,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
9,GBPUSD,"(63, 126, 252)",1.0,0.8,0.6,0.12,20,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
9,USDJPY,"(63, 126, 252)",1.0,0.8,0.6,0.12,20,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
